Metal,Season,Station,Sed_mg_per_kg,Water_mg_per_L,Kd_L_per_kg
Pb,Rainy,S12,177.9,2.144,82.97574626865672
Pb,Rainy,S13,35.98,0.32,112.43749999999999
Pb,Rainy,S14,31.48,0.6174999999999999,50.979757085020246
Pb,Rainy,S15,76.52,0.32,239.12499999999997
Pb,Rainy,S16,98.47,0.6174999999999999,159.46558704453443
Pb,Rainy,S17,95.44,1.5586666666666666,61.23182207014542
Fe,Rainy,S1,26700.0,1.0865,24574.321214910262
Fe,Rainy,S2,34970.0,1.0865,32185.91808559595
Fe,Rainy,S3,23970.0,1.0865,22061.665899677864
Fe,Rainy,S4,23990.0,1.0865,22080.073630924988
Fe,Rainy,S5,35130.0,1.5992499999999998,21966.546818821324
Fe,Rainy,S6,38700.0,1.5992499999999998,24198.843207753638
Fe,Rainy,S7,43480.0,2.2256666666666667,19535.719634566423
Fe,Rainy,S8,45600.0,1.0865,41969.62724344224
Fe,Rainy,S9,47900.0,1.5992499999999998,29951.539784273882
Fe,Rainy,S10,50395.0,2.2256666666666667,22642.65388647596
Fe,Rainy,S11,42650.0,1.002,42564.87025948104
Fe,Rainy,S12,46870.0,2.456,19083.876221498373
Fe,Rainy,S13,32700.0,1.0865,30096.640589047398
Fe,Rainy,S14,26320.0,1.5992499999999998,16457.714553697046
Fe,Rainy,S15,30790.0,1.0865,28338.70225494708
Fe,Rainy,S16,36500.0,1.5992499999999998,22823.198374237927
Fe,Rainy,S17,25110.0,2.2256666666666667,11282.012880035943
Cr,Winter,S1,106.58,0.069,1544.63768115942
Cr,Winter,S2,104.28,0.069,1511.3043478260868
Cr,Winter,S3,89.77,0.069,1301.014492753623
Cr,Winter,S4,71.55,0.069,1036.9565217391303
Cr,Winter,S5,100.15,0.3934999999999999,254.51080050825928
Cr,Winter,S6,86.2,0.3934999999999999,219.05972045743334
Cr,Winter,S7,105.53,0.6363333333333334,165.84075432163434
Cr,Winter,S8,18.19,0.069,263.6231884057971
Cr,Winter,S9,17.16,0.3934999999999999,43.60864040660738
Cr,Winter,S10,13.56,0.6363333333333334,21.309586170770036
Cr,Winter,S11,93.3,0.025,3731.9999999999995
Cr,Winter,S12,118.1,1.102,107.1687840290381
Cr,Winter,S13,17.11,0.069,247.9710144927536
Cr,Winter,S14,12.9,0.3934999999999999,32.78271918678527
Cr,Winter,S15,80.03,0.069,1159.855072463768
Cr,Winter,S16,62.13,0.3934999999999999,157.89072426937742
Cr,Winter,S17,58.8,0.6363333333333334,92.40440020953378
Ni,Winter,S1,34.35,0.1149999999999999,298.69565217391334
Ni,Winter,S2,27.1,0.1149999999999999,235.6521739130437
Ni,Winter,S3,59.33,0.1149999999999999,515.9130434782613
Ni,Winter,S4,49.17,0.1149999999999999,427.56521739130477
Ni,Winter,S5,50.68,0.39475,128.38505383153895
Ni,Winter,S6,23.32,0.39475,59.07536415452819
Ni,Winter,S7,22.18,0.4443333333333333,49.91747936984246
Ni,Winter,S8,81.17,0.1149999999999999,705.8260869565224
Ni,Winter,S9,85.22,0.39475,215.88347055098163
Ni,Winter,S10,57.59,0.4443333333333333,129.60990247561892
Ni,Winter,S11,71.63,0.058,1234.9999999999998
Ni,Winter,S12,79.25,0.356,222.61235955056182
Ni,Winter,S13,39.41,0.1149999999999999,342.69565217391334
Ni,Winter,S14,25.78,0.39475,65.30715642811907
Ni,Winter,S15,28.1,0.1149999999999999,244.34782608695676
Ni,Winter,S16,71.22,0.39475,180.4179860671311
Ni,Winter,S17,69.53,0.4443333333333333,156.4816204051013
Cu,Winter,S1,69.95,0.6765,103.39985218033999
Cu,Winter,S2,75.12,0.6765,111.04212860310422
Cu,Winter,S3,71.13,0.6765,105.14412416851441
Cu,Winter,S4,92.34,0.6765,136.49667405764967
Cu,Winter,S5,100.22,0.8485,118.1143193871538
Cu,Winter,S6,189.14,0.8485,222.9110194460813
Cu,Winter,S7,112.23,0.8596666666666667,130.55060100814268
Cu,Winter,S8,100.19,0.6765,148.10051736881005
Cu,Winter,S9,105.64,0.8485,124.50206246317029
Cu,Winter,S10,98.65,0.8596666666666667,114.75378053509112
Cu,Winter,S11,177.37,0.198,895.8080808080808
Cu,Winter,S12,261.1,0.652,400.46012269938655
Cu,Winter,S13,75.15,0.6765,111.08647450110865
Cu,Winter,S14,79.57,0.8485,93.77725397760753
Cu,Winter,S15,105.2,0.6765,155.50628233555062
Cu,Winter,S16,115.48,0.8485,136.09899823217444
Cu,Winter,S17,169.29,0.8596666666666667,196.92516479255525
As,Winter,S1,9.12,0.1735,52.564841498559076
As,Winter,S2,13.79,0.1735,79.48126801152738
As,Winter,S3,26.17,0.1735,150.83573487031703
As,Winter,S4,25.35,0.1735,146.10951008645534
As,Winter,S5,28.37,0.08425,336.7359050445104
As,Winter,S6,14.2,0.08425,168.5459940652819
As,Winter,S7,21.37,0.089,240.11235955056182
As,Winter,S8,12.54,0.1735,72.27665706051873
As,Winter,S9,14.23,0.08425,168.9020771513353
As,Winter,S10,19.87,0.089,223.25842696629215
As,Winter,S11,12.81,0.079,162.15189873417722
As,Winter,S12,9.32,0.107,87.10280373831776
As,Winter,S13,7.49,0.1735,43.17002881844381
As,Winter,S14,8.53,0.08425,101.24629080118693
As,Winter,S15,20.68,0.1735,119.19308357348704
As,Winter,S16,19.83,0.08425,235.3709198813056
As,Winter,S17,21.77,0.089,244.6067415730337
Cd,Winter,S1,4.43,0.0075,590.6666666666666
Cd,Winter,S2,3.82,0.0075,509.3333333333333
Cd,Winter,S3,2.95,0.0075,393.33333333333337
Cd,Winter,S4,2.36,0.0075,314.6666666666667
Cd,Winter,S5,2.1,0.55825,3.761755485893417
Cd,Winter,S6,1.5,0.55825,2.6869682042095833
Cd,Winter,S7,1.36,0.113,12.035398230088497
Cd,Winter,S8,3.69,0.0075,492.0
Cd,Winter,S9,5.14,0.55825,9.207344379758172
Cd,Winter,S10,2.9,0.113,25.66371681415929
Cd,Winter,S11,7.1,0.003,2366.6666666666665
Cd,Winter,S12,9.1,0.165,55.15151515151515
Cd,Winter,S13,2.31,0.0075,308.0
Cd,Winter,S14,1.53,0.55825,2.740707568293775
Cd,Winter,S15,9.11,0.0075,1214.6666666666667
Cd,Winter,S16,14.93,0.55825,26.74429019256605
Cd,Winter,S17,12.7,0.113,112.38938053097344
Pb,Winter,S1,105.9,0.3855,274.7081712062257
Pb,Winter,S2,96.14,0.3855,249.39040207522697
Pb,Winter,S3,77.36,0.3855,200.67444876783398
Pb,Winter,S4,90.48,0.3855,234.7081712062257
Pb,Winter,S5,79.1,0.60975,129.72529725297252
Pb,Winter,S6,63.44,0.60975,104.04264042640426
Pb,Winter,S7,40.55,1.1663333333333334,34.767076307516426
Pb,Winter,S8,233.47,0.3855,605.6290531776913
Pb,Winter,S9,250.11,0.60975,410.1845018450185
Pb,Winter,S10,217.8,1.1663333333333334,186.73906830523006
Pb,Winter,S11,259.1,0.316,819.9367088607596
Pb,Winter,S12,297.4,1.979,150.27791814047498
Pb,Winter,S13,64.1,0.3855,166.27756160830089
Pb,Winter,S14,59.8,0.60975,98.07298072980728
Pb,Winter,S15,96.87,0.3855,251.284046692607
Pb,Winter,S16,190.4,0.60975,312.2591225912259
Pb,Winter,S17,210.65,1.1663333333333334,180.60874535581593
Fe,Winter,S1,29400.0,1.141,25766.87116564417
Fe,Winter,S2,32100.0,1.141,28133.21647677476
Fe,Winter,S3,27970.0,1.141,24513.584574934266
Fe,Winter,S4,25780.0,1.141,22594.21560035057
Fe,Winter,S5,36480.0,1.7667499999999998,20648.082637611435
Fe,Winter,S6,35130.0,1.7667499999999998,19883.96773737088
Fe,Winter,S7,38900.0,2.4953333333333334,15589.099652685012
Fe,Winter,S8,44210.0,1.141,38746.713409290096
Fe,Winter,S9,43980.0,1.7667499999999998,24893.165416725627
Fe,Winter,S10,47390.0,2.4953333333333334,18991.450707988246
Fe,Winter,S11,40100.0,1.1,36454.54545454545
Fe,Winter,S12,44600.0,2.979,14971.466935213159
Fe,Winter,S13,30460.0,1.141,26695.880806310255
Fe,Winter,S14,31790.0,1.7667499999999998,17993.490873072027
Fe,Winter,S15,33460.0,1.141,29325.153374233127
Fe,Winter,S16,34100.0,1.7667499999999998,19300.9763690392
Fe,Winter,S17,26710.0,2.4953333333333334,10703.980764092974
