Paper_ID,First_Author,Year,River,Station_ID,Station_Name,Lat,Lon,Season,Season_Norm,Matrix,Unit_Norm,Background_standard,Analytical_method,Access_status,WHO_exceedance,GNN_usability,Metal,Concentration,Igeo_orig,EF_orig,CF_orig
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,100.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,110.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,300.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,100.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,90.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,140.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,170.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,50.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,110.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,90.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,1100.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,130.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,150.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,190.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,90.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,90.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,100.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,180.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,1500.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,100.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,130.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,200.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,100.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,80.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,160.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,290.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,2200.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,100.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,110.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,210.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,110.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,110.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,310.0,,,
1,Bhuiyan,2015,Buriganga,BW12,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,200.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,90.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,100.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,90.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,90.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,120.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,220.0,,,
1,Bhuiyan,2015,Buriganga,BW13,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,100.0,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,90.0,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,90.0,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,990.0,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,200.0,,,
1,Bhuiyan,2015,Buriganga,BW14,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,500.0,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,80.0,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,100.0,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,100.0,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,150.0,,,
1,Bhuiyan,2015,Buriganga,BW15,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,100.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,7550.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,2530.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,970.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,430.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS1,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,20430.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,4930.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,1700.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,900.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,280.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS2,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,14030.0,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,1180.0,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,1410.0,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,700.0,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,330.0,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS3,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,12530.0,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,500.0,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,910.0,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,610.0,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,210.0,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS4,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,11900.0,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,70.0,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,230.0,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,810.0,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,270.0,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS5,,,,Winter,Winter,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,11170.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,2530.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,970.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,580.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,As,,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cd,,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Pb,270.0,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Mn,,,,
2,Hossain,2021,Buriganga,BS1,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Fe,13490.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cr,2010.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Ni,1130.0,,,
2,Hossain,2021,Buriganga,BS2,,,,Summer,Rainy,Water,µg/L,Turekian & Wedepohl 1961,FAAS/GFAAS,Accessed,True,2,Cu,810.0,,,
