Stations,River,Lat,Long,CrW,NiW,CuW,AsW,CdW,PbW,MW,FeW,RI
S17,Shitalakshya,23.62842,90.514128,0.6363333333333334,0.4443333333333333,0.8596666666666667,0.089,0.113,1.1663333333333334,0.4203333333333334,2.4953333333333334,0.4496086607451957
Interp_W_1,Unknown,23.61274469982163,90.43060852430816,0.630515494452194,0.36989740967892376,0.7632252335755031,0.09935257495852991,0.17729529591200424,1.1645721705801062,0.41708924965934374,2.3164140342911046,0.4896403441275653
Interp_W_2,Unknown,23.66377289761991,90.11406230846896,0.27895546756640005,0.25258656604166047,0.7260863070576109,0.12580834846896746,0.2041617974731555,0.6077518592010382,0.4669489619376277,1.5770330050444823,0.45115942192349207
Interp_W_3,Unknown,23.637573201575652,90.43220335875688,0.7429319936278311,0.3602158803903145,0.7271216354230827,0.10181014348358017,0.17784879013562058,1.3601359594011486,0.3963008527501442,2.4614786031923126,0.4988218546938468
Interp_W_4,Unknown,23.834252994638916,90.34576902211585,0.3847797156405911,0.3805531481801906,0.8369897579646638,0.08905232949572578,0.5111069079811188,0.6185886700166666,0.5359704365615796,1.7590844364615905,0.7973196977382832
Interp_W_5,Unknown,23.67071966636189,90.02328345724526,0.27837355876612835,0.24832443274689073,0.7231656287040519,0.12750841542207753,0.1899462160114425,0.6139467655924571,0.4637630934853676,1.5774354116371305,0.43622669376186873
Interp_W_6,Unknown,23.77681852243475,90.5139872385986,0.2480864439888608,0.2440658249534026,0.7431327464105084,0.13174507119942308,0.22950088952451234,0.5505269264251688,0.482862334816303,1.4949864647419924,0.47379198505703396
Interp_W_7,Unknown,23.74106803843212,90.12709234600068,0.2332360142956553,0.22384215887338837,0.716020037796504,0.13572532922697725,0.16339905224355714,0.5580319911262555,0.46469324370902626,1.4830755378070855,0.4005063629352501
Interp_W_8,Unknown,23.65493746951183,90.33008134844432,0.3913614456745131,0.37935696353223347,0.823407441567254,0.08680762747931178,0.504372140675711,0.6322712200987168,0.529518820285474,1.7739656640630372,0.789312624255812
Interp_W_9,Unknown,23.813285073043964,90.112840926056,0.2072478852319675,0.20526946260015336,0.7090487364100948,0.1423535267899714,0.13234795410833403,0.5337120609394509,0.4617139375304819,1.430502313776552,0.3635508922050537
Interp_W_10,Unknown,23.6523007269332,90.27156734782558,0.35830991536370654,0.3339552023295092,0.7781224350860124,0.09883244596457398,0.3877751751667862,0.6386731790844884,0.5009169000172163,1.7223283241700282,0.6585933304578402
Interp_W_11,Unknown,23.91962318972518,90.5889533087124,0.2496788170858815,0.23130343907634196,0.7256590312961242,0.1351300693723144,0.1761947994471693,0.5783179252314999,0.46770924996482605,1.5103340831973626,0.4175762799452912
Interp_W_12,Unknown,23.993396304083365,90.21672397325857,0.17443731807929183,0.18338729112683463,0.7026818666191547,0.15038347363600266,0.09996803419053621,0.4998431309189464,0.45995319893117237,1.362247323892444,0.32414193695359667
Interp_W_13,Unknown,23.799430311171633,90.53074079421464,0.22880806574929474,0.23097213230548802,0.7364846763978713,0.13595783789427393,0.20638728920582294,0.5321047184818539,0.47999856650768624,1.4578956042682116,0.4461291452329209
Interp_W_14,Unknown,23.97277094953435,90.21627753012028,0.1543007013055706,0.17055555017497662,0.6978933348963259,0.1547291776077522,0.0826781273281908,0.4777670653090213,0.4590184697458972,1.3201708811328983,0.3024123139139374
Interp_W_15,Unknown,23.977335716596485,90.21541520271953,0.15928941614955702,0.17374135720546346,0.6990778189408197,0.15364854448931148,0.08696908431303445,0.48323004680503495,0.45924969301848306,1.3306049861486402,0.3078034124824228
Interp_W_16,Unknown,23.799189034596115,90.30615535952512,0.36913248017830913,0.3091126317018304,0.769058667719627,0.11444746022865158,0.19622517238660997,0.7395947101137269,0.45998806242024837,1.813317279895168,0.4678374421482562
Interp_W_17,Unknown,24.001910156574773,90.08128629682255,0.21690407056641106,0.20924571175043347,0.7107466299332158,0.14136726955606413,0.13385825428109838,0.5478397697801001,0.46091415373189965,1.450726157093678,0.3669989509744066
Interp_W_18,Unknown,23.91473991373703,90.56220620626468,0.24118962551179268,0.22774178961537964,0.7251835985413475,0.1362899786989982,0.17466198163850102,0.566056264381929,0.46872526334268283,1.4922601229457526,0.4144991255149623
Interp_W_19,Unknown,23.732604473462768,90.35365486546183,0.13501959087601445,0.13492482152399973,0.36417740396822795,0.08760479185985413,0.07494583072157784,0.448516124480953,0.3532481550890083,1.3190121906431356,0.23561227758357445
Interp_W_20,Unknown,23.799161989884755,90.30608905838798,0.368700618138669,0.30884134174527833,0.7688818064512828,0.11451463323067392,0.19606428354047212,0.7390383064030084,0.4599879205083212,1.8123066202275693,0.4675664676982801
Interp_W_21,Unknown,23.801715419497015,90.53289678974468,0.2156981577836188,0.22101921970988128,0.7310477444049963,0.13916614053308796,0.18846558640325634,0.5208603637601472,0.47746919671065385,1.4321774083185257,0.42490431847795634
Interp_W_22,Unknown,24.1001144404421,90.36870159211306,0.25252507743070796,0.23207630443517704,0.7214915475889354,0.13412631208578257,0.1666925857424308,0.5861112850219339,0.46380218102606857,1.523310949231313,0.4080253367940917
Interp_W_23,Unknown,23.816622456479212,90.10334916624168,0.2107347295034285,0.20728556110623295,0.7096920219656421,0.14166969429346418,0.13480330190906875,0.5378253734439498,0.4617363797287453,1.4377623212929727,0.36673465482330786
Interp_W_24,Unknown,23.79383373328925,90.09341709216922,0.22231157700438836,0.2147989875044382,0.7122303452638136,0.139021653313388,0.14584227904761085,0.550034618680747,0.4624136217052375,1.4615796317942293,0.3802868955019872
Interp_W_25,Unknown,23.706580710760168,90.21764339627047,0.2504223172353902,0.24796741089037808,0.73403516757067,0.12773347009988764,0.22775829675267148,0.552798691367172,0.4784032070837025,1.5101442102873333,0.47131542577948304
Interp_W_26,Unknown,23.89216755942142,90.141170049111,0.17138908905776956,0.18159258608705936,0.7010735704625395,0.15073430868581414,0.09784278766047562,0.4962032691756867,0.4595904519257822,1.3561174650179089,0.3212097916717286
Interp_W_27,Unknown,23.589925489554616,90.4176965406939,0.5747282093774883,0.37111236302664297,0.7764755107224038,0.09861277954879405,0.18135617205277446,1.0674630822944444,0.42748683320594594,2.235379576902457,0.4882650605733479
Interp_W_28,Unknown,23.670663297951172,90.02331545332937,0.27838859765527735,0.2483340914385564,0.7231690538800152,0.12750506255836555,0.18996036165106883,0.6139627541134515,0.4637639943379473,1.5774662292718866,0.4362441181587564
Interp_W_29,Unknown,23.643177557448645,90.43386240640017,0.7974153741885787,0.35628105691960915,0.7112990692242406,0.10304326096587287,0.17834086061365592,1.4545446775930002,0.3866907761437889,2.5327500845945985,0.5038306913448304
Interp_W_30,Unknown,23.760363728580693,90.26520979845176,0.13990393018347133,0.16444562693808967,0.6949830715101035,0.1562160012540678,0.07958334013467053,0.4570847701901303,0.45993489750444944,1.290298030771182,0.29636459105808743
Interp_W_31,Unknown,24.003759698692324,90.3522104740764,0.23027073935338893,0.22036249000080033,0.7187314540495091,0.13821301832047997,0.15286165897264123,0.5586789005254186,0.4642860688406956,1.47780615592465,0.389839220933754
Interp_W_32,Unknown,23.716521464531127,90.21138674261438,0.2266934034791715,0.2286635635901339,0.723915813175569,0.1342123357965749,0.19119550882208072,0.5345875407932347,0.4730878616961701,1.4636720744752145,0.42867461353457925
Interp_W_33,Unknown,23.58540551703465,90.42166655387342,0.5698355811871065,0.36620068238115777,0.7717169727653397,0.0994305686255242,0.1854603548085921,1.0597453656639464,0.4282118174751347,2.2169716317188652,0.49041230525105933
Interp_W_34,Unknown,23.61238350037364,90.42666797381452,0.6227649332260342,0.3738113798973407,0.769515267596092,0.09861593209637604,0.17440616341082724,1.1507277360878656,0.41854047888683255,2.3140114666722593,0.48711618954538094
Interp_W_35,Unknown,23.633058444331937,90.38182521172472,0.6244940072419348,0.435342554987023,0.849168157317208,0.08981642537746219,0.12274491740707585,1.146349897394956,0.4218141472048005,2.4566973683045026,0.4550574086828324
Interp_W_36,Unknown,23.866079992293216,90.55374166004364,0.15670102189908475,0.17449263357107364,0.70404467365665,0.15400655686221829,0.10076849615987818,0.4735842186309631,0.46403680006094844,1.31813848127307,0.32188852459376005
Interp_W_37,Unknown,23.808754831776525,90.1042876120621,0.21276478284824038,0.2087137714708983,0.7101899919428708,0.14115432281393003,0.13711571568609088,0.539775611428002,0.46193315141436236,1.4419091095657601,0.36950056202704895
Interp_W_38,Unknown,23.99030598636576,90.21635891069415,0.17174447825282751,0.18167856192339266,0.7020455368598453,0.15096177731594462,0.09766710520477136,0.49688342744151714,0.4598305704028599,1.356627191554592,0.32124843747291865
Interp_W_39,Unknown,23.721661924964742,90.26664631177808,0.3089418551610436,0.3094591229965629,0.7794288823643782,0.10874119629675084,0.36806136839323755,0.5734131489916918,0.5066021237243741,1.6151979028038197,0.6303648758170044
Interp_W_40,Unknown,23.808691334248223,90.54289195557912,0.1579683520178738,0.17776721975720677,0.7078506551042113,0.15313760210855645,0.1118360426314055,0.47025539614789497,0.4669678029115807,1.318422275035176,0.33386535995077504
Interp_W_41,Unknown,23.934023892300495,90.08674936230244,0.20489003597360098,0.20218870267055358,0.7081297415385222,0.14368657294968254,0.12504580552109437,0.533831612153733,0.4606463567236352,1.4258250161264356,0.35560817160395497
Interp_W_42,Unknown,23.894001574766023,90.1433933603712,0.16950327548110383,0.18037901158341046,0.7006592251622329,0.15115707291508007,0.09617019203956187,0.4941630368995742,0.4595051831649582,1.3521773156899495,0.31912659301505203
Interp_W_43,Unknown,23.582876359801496,90.4628845270679,0.5847475596734554,0.36217945657640227,0.7669811216321155,0.10108047990135352,0.18683537447233334,1.0865593419379478,0.42630182182529197,2.229600923299999,0.49265981111522383
Interp_W_44,Unknown,23.88405835503762,90.2305709544048,0.09651792486831712,0.13331751309224102,0.6838352927691554,0.1673459161910386,0.03225369333090413,0.41490725949548063,0.45613512117939603,1.1991777386591633,0.23917109072306383
Interp_W_45,Unknown,23.894888374204086,90.2316988298273,0.08485879829138242,0.12554152655684075,0.6807211836973737,0.16995910361271602,0.021768195084182058,0.402453823522123,0.45544375632483597,1.17449697105647,0.22603546016275516
Interp_W_46,Unknown,23.611309409799283,90.45859697849004,0.6530155334515398,0.36457885897642467,0.7548241461204247,0.10106572237880489,0.18293495201046375,1.2032856739111997,0.4144107063937547,2.335062760444765,0.4964092721467599
Interp_W_47,Unknown,23.825385725765365,90.34503411615796,0.39331862298220455,0.39283280880043037,0.8467055467714927,0.084969651708623,0.5491667998539825,0.6136410187739337,0.5443099795547978,1.7689420789339994,0.8386348221133748
Interp_W_48,Unknown,23.585398849767135,90.42162258031864,0.569799157791159,0.36621650003771705,0.77174212671009,0.09942707415243165,0.18545414856889864,1.0596786398123383,0.4282192671125373,2.216951358831222,0.4904067478967465
Interp_W_49,Unknown,23.927464094110036,90.24636174578946,0.10015188724357947,0.13564870773507545,0.6848097966653766,0.16657612451431117,0.03558670557556478,0.41881068147691913,0.4563845021280991,1.2066326483892351,0.2433209105388439
Interp_W_50,Unknown,23.711967608354744,90.27827118937056,0.37717244806234573,0.3763767925699466,0.8306008287324975,0.08894633331848058,0.5148412666858614,0.6059080461652375,0.5361723539706681,1.7391738609310725,0.7985432522618848
Interp_W_51,Unknown,23.816369686865876,90.24795671528346,0.0954877266686447,0.13276956926502123,0.6835861537142451,0.16752553706841228,0.030925135300154352,0.413887683816641,0.455967392917577,1.1975451759477318,0.23763224434237107
Interp_W_52,Unknown,23.583112341918024,90.42364173284248,0.5674024297332175,0.3641376346763634,0.7698589024113641,0.09978728278135184,0.18715698090211147,1.0558722974193218,0.4285937132612284,2.2086946568362493,0.49125833280852743
Interp_W_53,Unknown,23.83867782919983,90.5256006760955,0.15595909092874902,0.1788581074605241,0.7094710120917501,0.1527460233197834,0.11720190467889981,0.4643756489757495,0.4686593988967706,1.3139534195219005,0.33923186548693146
Interp_W_54,Unknown,23.639557798012273,90.33355701718044,0.40588441153613863,0.3649345616602352,0.7978576884240316,0.09058736730710396,0.41962749207753286,0.6942359126676877,0.5038822335195193,1.8266248720258693,0.7024865773625868
Interp_W_55,Unknown,24.001710922018816,90.0804995070252,0.21710008195496353,0.2093642664916135,0.7107829181961778,0.14132583235663856,0.13401389144436876,0.5480619425792205,0.46091825951576804,1.4511336514262714,0.36719576367520923
Interp_W_56,Unknown,23.596073778284357,90.44229309564052,0.6033541986836485,0.36243787903959673,0.7611438731426006,0.10063995368082358,0.18569770825793716,1.118470400780407,0.4222687903231777,2.258283671969939,0.4931686009495856
Interp_W_57,Unknown,23.792634741135437,90.24079772800576,0.08682536229669341,0.12703648470529225,0.6810920081969684,0.16937972538412382,0.023909653358286515,0.40431892395570806,0.4555528650823573,1.1788444301647276,0.22861060706399342
Interp_W_58,Unknown,24.007924843102547,90.36443211851642,0.23579726369398527,0.22378199770911322,0.7200468258001276,0.13706624720133379,0.15778129602559998,0.5647239005334975,0.46460141255795495,1.4890249528969524,0.3959650076600206
Interp_W_59,Unknown,23.61360805107501,90.42966409033272,0.6309985833049356,0.3707921024054548,0.7641465784223072,0.09919550791128566,0.1764413932841862,1.1653199385107957,0.4169910015897841,2.319256923124103,0.4890977551234606
Interp_W_60,Unknown,23.821679642497426,90.27641176604806,0.18994075382488715,0.1967214479049618,0.7123777928100973,0.14690068514099755,0.11123181284493534,0.5161897883155524,0.46157229005634093,1.4015221822136081,0.34014240190914563
Interp_W_61,Unknown,23.670159975014677,90.02340269764984,0.2785333140019082,0.24842093402793108,0.723198320624978,0.12747542398866601,0.19007539712475618,0.6141272004052117,0.46376802854343785,1.5777648526836434,0.43638988108108917
Interp_W_62,Unknown,23.632045343379954,90.38377945444232,0.6299552574889304,0.4392895092025038,0.8537527470432951,0.08947083158630834,0.1183519147096995,1.155616160107228,0.4211058659686802,2.47410562567829,0.452584353100634
Interp_W_63,Unknown,23.90988543296801,90.27092911766375,0.13993668378795182,0.16271916848882872,0.6965956909328894,0.15764483450327174,0.07294697617546599,0.46051707905531064,0.4593741944816425,1.2906102144467353,0.28993420467253855
Interp_W_64,Unknown,23.93396438458263,90.08661777510274,0.20494594970724345,0.20222338838860163,0.7081409506421104,0.14367448018685297,0.12509254400128678,0.5338937411115362,0.4606481564034149,1.4259412969544565,0.3556668364376333
Interp_W_65,Unknown,23.993530570299576,90.21655468570032,0.17455241117224474,0.18345854499900763,0.7027058644550876,0.15035893637040348,0.10006225413483787,0.49997186604820204,0.45995681175490505,1.3624874145690207,0.3242608723566151
Interp_W_66,Unknown,24.005110884782805,90.27197500950642,0.19739074604654205,0.19859102438637782,0.7092115653069571,0.14537412316924733,0.12123230199790458,0.5242029916377661,0.4616058595200412,1.4100951385728908,0.35066707250123724
Interp_W_67,Unknown,23.79363015666628,90.40608054398363,0.3395763238439239,0.2879635639315959,0.7328780154373727,0.11305439639017638,0.23175956216154248,0.6844439562997989,0.46249472766377153,1.7150830083931141,0.4909975881674459
Interp_W_68,Unknown,23.86603323328004,90.55377421978324,0.15656600331765902,0.17440037802540298,0.704002313838252,0.15403693328128226,0.10062385959931922,0.4734493256894219,0.4640220376063015,1.3178650486647776,0.3217123633829277
Interp_W_69,Unknown,23.82170515305303,90.27637626676118,0.18979115563933263,0.19662072027811156,0.7123300842686008,0.1469322750815317,0.11111498209297094,0.5160235595390403,0.46156484787977553,1.401194102871057,0.3399899530938957
Interp_W_70,Unknown,24.10241173384922,90.34038862601972,0.2472836354007041,0.2287702860115209,0.7200302556361479,0.13519747008242103,0.16178927657261785,0.5804859645697156,0.4633914498460153,1.5127555031356992,0.4019419286433485
Interp_W_71,Unknown,23.713810671952675,90.2139067053542,0.23279085216203113,0.23377745343730957,0.7266912108957315,0.13250088278025005,0.2011658183206324,0.5389883177119394,0.474607853204706,1.4755089613921073,0.4402398418398165
Interp_W_72,Unknown,23.80802214558737,90.1049132039216,0.21271859875721674,0.20870701380290513,0.7101915897121754,0.1411542948383364,0.13715259318205897,0.5396862334318928,0.46194744515987,1.4418064297777804,0.36953016414114287
Interp_W_73,Unknown,23.615986731662097,90.43842857628816,0.6556816624629398,0.36425125996744967,0.7515245480819839,0.10061138912460527,0.18097325179991988,1.2085780354519713,0.4126789797824883,2.340289410184891,0.4942856145629768
Interp_W_74,Unknown,23.94678479797905,90.24905351409082,0.13049840328171644,0.15556711726629155,0.692683691193528,0.15987887789132213,0.0626987859342583,0.45143758968300834,0.4581303719488256,1.2703821089015306,0.27726639112502216
Interp_W_75,Unknown,23.61226182365539,90.42733864705114,0.6236161287263203,0.37306843166063625,0.7684460324811363,0.09874869131572628,0.1749934074521303,1.152284281140243,0.4183742535159405,2.3135491309250957,0.4875689697267679
Interp_W_76,Unknown,23.90920275630804,90.3355122858152,0.16425581746827234,0.1806194338953528,0.706136194708724,0.15196770385801966,0.10106662416569691,0.48351396601568664,0.46287557237053906,1.3406529514151921,0.3241244725883419
Interp_W_77,Unknown,23.64295020765157,90.56442380028732,0.5293543348968913,0.36821436021125015,0.7943273081527575,0.10126288523359522,0.20108805012506847,0.9846963574624508,0.44269822770270634,2.148524460434519,0.5040675124831938
Interp_W_78,Unknown,23.977376760709003,90.21541490745729,0.15933221875486275,0.17376870913002046,0.6990880568417094,0.153639281113959,0.0870059625738428,0.4832768904329347,0.4592517123397445,1.3306944851791804,0.30784974250959213
Interp_W_79,Unknown,23.61128301976687,90.45861865174348,0.6529151274435141,0.364590110431246,0.7548617370165224,0.10106366615249966,0.1829314769287591,1.2031110839253696,0.4144299141931562,2.3349390900239775,0.4963992380221293
Interp_W_80,Unknown,23.702114237740556,90.1393116049885,0.25529911879649503,0.2395516865646579,0.7223511286621737,0.13023148184335132,0.18971232935505977,0.5787457531751558,0.46736340761441364,1.5275003864170136,0.4318933226508432
Interp_W_81,Unknown,23.784538393922396,90.5187606970789,0.2606855379376799,0.25490344881928395,0.7495872136356503,0.12825774834573478,0.2500392615936484,0.5595457420365735,0.48617901532627994,1.5198494665130395,0.4977673250268569
Interp_W_82,Unknown,23.894679944718916,90.23190783087136,0.08524738814870707,0.1258010405736233,0.6808265991621227,0.16987220008650183,0.022119388645131563,0.4028681636322885,0.4554676553071883,1.1753186980766168,0.22647524437798702
Interp_W_83,Unknown,23.867227559297213,90.55587287172618,0.1602083527520494,0.17665836641566787,0.7049089676257828,0.15329217006578064,0.10374485802944433,0.47747795131974596,0.4642159888061623,1.3253362548637702,0.32563701266087275
Interp_W_84,Unknown,23.643837063103543,90.56437465396174,0.5282945771217953,0.3677137707719301,0.794011800525879,0.10133992687893593,0.20207823832893115,0.9827452498969913,0.44300724879649583,2.145449166997117,0.5047995424522179
Interp_W_85,Unknown,23.75555715771286,90.24488051335145,0.07003048959440329,0.11572989215006602,0.6767873136462569,0.1732461618959442,0.008615725783933019,0.38651067314130233,0.4545979267340718,1.143143515776871,0.20952116753732916
Interp_W_86,Unknown,23.807097502909674,90.36549795696364,0.4274246396881817,0.35490565899480897,0.7975139635986456,0.10055894506552637,0.27364814705427515,0.7898805705643366,0.4718835388391687,1.9311630705306377,0.5608123668707812
Interp_W_87,Unknown,23.935021644886657,90.08595458770736,0.20532565252931434,0.20245018462000272,0.7082196125441502,0.1435980162481969,0.1253825243622899,0.5343301901895491,0.4606570019293735,1.4267298265305526,0.356037829670225
Interp_W_88,Unknown,23.99113071061431,90.2161658480947,0.17247599904605368,0.18214042081983745,0.7022137817113772,0.15080481061330828,0.09828654906416683,0.49769042676420494,0.45986155837479376,1.3581540416189464,0.3220279907964546
Interp_W_89,Unknown,23.625820664741024,90.39150127208735,0.634727489943318,0.4428195340140785,0.8578734783477276,0.08915770537312619,0.11451472442588463,1.1636785125915743,0.4205099259398111,2.4894539535626103,0.45045079180434666
Interp_W_90,Unknown,23.61273054318166,90.4304306781288,0.6301574746074253,0.37005656255461034,0.7634868487717793,0.09932151286392181,0.177177564759242,1.1639360963995837,0.4171542316483985,2.316255569351495,0.489532552941299
Interp_W_91,Unknown,23.99064010435438,90.21618124682232,0.1720432305901553,0.18186632000601302,0.7021126150521151,0.1508977410178881,0.09791805439443765,0.49721409839342295,0.45984240217418065,1.3572507382072034,0.32156446609072215
Interp_W_92,Unknown,23.706594186952675,90.28086222139244,0.38820214487187055,0.3885371209899493,0.8420728323861427,0.08576407142467538,0.5433242862106562,0.6089061736973256,0.5428058837261531,1.7580028022352834,0.8310452492907953
Interp_W_93,Unknown,23.977406309926497,90.21537681939812,0.15936616013090002,0.17379008336873497,0.6990955683291855,0.1536319570619187,0.08703448628648733,0.4833144265870439,0.4592530138731447,1.3307654392401778,0.3078856463568713
Interp_W_94,Unknown,23.92130810485287,90.58683235958168,0.25020467715804506,0.2317249496618765,0.7258371159398381,0.1349808677441542,0.17689592648722818,0.5787625150950296,0.46778884967618,1.5114354993104158,0.4184059251025434
Interp_W_95,Unknown,23.80169605530293,90.10491675955986,0.2148327619584459,0.21015522633725708,0.7106955711774388,0.1406365084598532,0.13943295018501445,0.5417829635004241,0.46212733090304386,1.4461308091642917,0.37227884393682914
Interp_W_96,Unknown,23.817755752652612,90.5433649606997,0.11196539269286555,0.14538941745388523,0.6916627570305152,0.1636303507589499,0.05802948908236184,0.4263413142754891,0.46054442085060576,1.2267446863320837,0.26902226397850515
Interp_W_97,Unknown,23.866707381194825,90.5546937331564,0.15856449655017837,0.17565752428188153,0.7045182100687272,0.15362234389410304,0.10239785090418323,0.4756290163902647,0.46414449227019944,1.3219570134840835,0.323930966404193
Interp_W_98,Unknown,23.759001704744012,90.26569590218114,0.14185376093205718,0.16596457631136163,0.6955927779884186,0.15566742014732968,0.08234560990996302,0.4586925306761297,0.46025713646448674,1.2941975371295582,0.29958851230165473
Interp_W_99,Unknown,23.84293607652752,90.52982371618974,0.13640996450188642,0.16371654767310748,0.7011412208054246,0.15763980953965606,0.08979247859161231,0.44799763148736266,0.46472271375999175,1.2754859581581846,0.30684419155037
Interp_W_100,Unknown,23.89797225978355,90.11988163960152,0.18589804379562883,0.1906789586314974,0.7041770170034186,0.14760024101756444,0.11007790148168634,0.5122529439003376,0.46012965809977435,1.3863453836656519,0.33657709611550446
